date,season,round,away,home,away_1p,home_1p,total_1p,u2.5_hit,game_id
2023-05-07,2022-23,2,DAL,SEA,0,0,0,1,2022030233
2023-05-08,2022-23,2,VGK,EDM,2,1,3,0,2022030243
2023-05-09,2022-23,2,CAR,NJD,1,1,2,1,2022030224
2023-05-09,2022-23,2,DAL,SEA,1,0,1,1,2022030234
2023-05-10,2022-23,2,TOR,FLA,0,0,0,1,2022030214
2023-05-10,2022-23,2,VGK,EDM,0,3,3,0,2022030244
2023-05-11,2022-23,2,NJD,CAR,1,0,1,1,2022030225
2023-05-11,2022-23,2,SEA,DAL,0,2,2,1,2022030235
2023-05-12,2022-23,2,FLA,TOR,2,0,2,1,2022030215
2023-05-12,2022-23,2,EDM,VGK,2,1,3,0,2022030245
2023-05-13,2022-23,2,DAL,SEA,1,2,3,0,2022030236
2023-05-14,2022-23,2,VGK,EDM,1,2,3,0,2022030246
2023-05-15,2022-23,2,SEA,DAL,0,0,0,1,2022030237
2023-05-18,2022-23,3,FLA,CAR,0,1,1,1,2022030311
2023-05-19,2022-23,3,DAL,VGK,1,0,1,1,2022030321
2023-05-20,2022-23,3,FLA,CAR,0,1,1,1,2022030312
2023-05-21,2022-23,3,DAL,VGK,1,1,2,1,2022030322
2023-05-22,2022-23,3,CAR,FLA,0,0,0,1,2022030313
2023-05-23,2022-23,3,VGK,DAL,3,0,3,0,2022030323
2023-05-24,2022-23,3,CAR,FLA,1,2,3,0,2022030314
2023-05-25,2022-23,3,VGK,DAL,1,1,2,1,2022030324
2023-05-27,2022-23,3,DAL,VGK,1,1,2,1,2022030325
2023-05-29,2022-23,3,VGK,DAL,3,0,3,0,2022030326
2023-06-03,2022-23,4,FLA,VGK,1,1,2,1,2022030411
2023-06-05,2022-23,4,FLA,VGK,0,2,2,1,2022030412
2023-06-08,2022-23,4,VGK,FLA,1,1,2,1,2022030413
2023-06-10,2022-23,4,VGK,FLA,1,0,1,1,2022030414
2023-06-13,2022-23,4,FLA,VGK,0,2,2,1,2022030415
2024-04-20,2023-24,1,TOR,BOS,0,1,1,1,2023030121
2024-04-20,2023-24,1,NYI,CAR,1,1,2,1,2023030141
2024-04-21,2023-24,1,TBL,FLA,1,1,2,1,2023030111
2024-04-21,2023-24,1,WSH,NYR,0,0,0,1,2023030131
2024-04-21,2023-24,1,COL,WPG,3,3,6,0,2023030161
2024-04-21,2023-24,1,NSH,VAN,1,0,1,1,2023030171
2024-04-22,2023-24,1,TOR,BOS,1,2,3,0,2023030122
2024-04-22,2023-24,1,NYI,CAR,2,0,2,1,2023030142
2024-04-22,2023-24,1,VGK,DAL,3,2,5,0,2023030151
2024-04-22,2023-24,1,LAK,EDM,0,2,2,1,2023030181
2024-04-23,2023-24,1,TBL,FLA,0,2,2,1,2023030112
2024-04-23,2023-24,1,WSH,NYR,1,2,3,0,2023030132
2024-04-23,2023-24,1,COL,WPG,0,1,1,1,2023030162
2024-04-23,2023-24,1,NSH,VAN,1,0,1,1,2023030172
2024-04-24,2023-24,1,BOS,TOR,0,0,0,1,2023030123
2024-04-24,2023-24,1,VGK,DAL,1,1,2,1,2023030152
2024-04-24,2023-24,1,LAK,EDM,3,1,4,0,2023030182
2024-04-25,2023-24,1,FLA,TBL,1,0,1,1,2023030113
2024-04-25,2023-24,1,CAR,NYI,2,0,2,1,2023030143
2024-04-26,2023-24,1,NYR,WSH,2,1,3,0,2023030133
2024-04-26,2023-24,1,WPG,COL,0,1,1,1,2023030163
2024-04-26,2023-24,1,VAN,NSH,1,0,1,1,2023030173
2024-04-26,2023-24,1,EDM,LAK,3,0,3,0,2023030183
2024-04-27,2023-24,1,FLA,TBL,0,3,3,0,2023030114
2024-04-27,2023-24,1,BOS,TOR,1,0,1,1,2023030124
2024-04-27,2023-24,1,CAR,NYI,1,0,1,1,2023030144
2024-04-27,2023-24,1,DAL,VGK,1,0,1,1,2023030153
2024-04-28,2023-24,1,NYR,WSH,2,1,3,0,2023030134
2024-04-28,2023-24,1,WPG,COL,1,1,2,1,2023030164
2024-04-28,2023-24,1,VAN,NSH,1,1,2,1,2023030174
2024-04-28,2023-24,1,EDM,LAK,0,0,0,1,2023030184
2024-04-29,2023-24,1,TBL,FLA,0,0,0,1,2023030115
2024-04-29,2023-24,1,DAL,VGK,1,1,2,1,2023030154
2024-04-30,2023-24,1,TOR,BOS,1,1,2,1,2023030125
2024-04-30,2023-24,1,NYI,CAR,1,3,4,0,2023030145
2024-04-30,2023-24,1,COL,WPG,1,1,2,1,2023030165
2024-04-30,2023-24,1,NSH,VAN,0,0,0,1,2023030175
2024-05-01,2023-24,1,VGK,DAL,2,2,4,0,2023030155
2024-05-01,2023-24,1,LAK,EDM,1,1,2,1,2023030185
2024-05-02,2023-24,1,BOS,TOR,0,0,0,1,2023030126
2024-05-03,2023-24,1,DAL,VGK,0,0,0,1,2023030156
2024-05-03,2023-24,1,VAN,NSH,0,0,0,1,2023030176
2024-05-04,2023-24,1,TOR,BOS,0,0,0,1,2023030127
2024-05-05,2023-24,1,VGK,DAL,0,1,1,1,2023030157
2024-05-05,2023-24,2,CAR,NYR,1,3,4,0,2023030221
2024-05-06,2023-24,2,BOS,FLA,0,0,0,1,2023030211
2024-05-07,2023-24,2,CAR,NYR,2,1,3,0,2023030222
2024-05-07,2023-24,2,COL,DAL,0,3,3,0,2023030231
2024-05-08,2023-24,2,BOS,FLA,1,0,1,1,2023030212
2024-05-08,2023-24,2,EDM,VAN,2,0,2,1,2023030241
2024-05-09,2023-24,2,NYR,CAR,0,1,1,1,2023030223
2024-05-09,2023-24,2,COL,DAL,0,1,1,1,2023030232
2024-05-10,2023-24,2,FLA,BOS,1,0,1,1,2023030213
2024-05-10,2023-24,2,EDM,VAN,1,1,2,1,2023030242
2024-05-11,2023-24,2,NYR,CAR,1,3,4,0,2023030224
2024-05-11,2023-24,2,DAL,COL,1,0,1,1,2023030233
2024-05-12,2023-24,2,FLA,BOS,0,2,2,1,2023030214
2024-05-12,2023-24,2,VAN,EDM,3,1,4,0,2023030243
2024-05-13,2023-24,2,CAR,NYR,0,0,0,1,2023030225
2024-05-13,2023-24,2,DAL,COL,1,0,1,1,2023030234
2024-05-14,2023-24,2,BOS,FLA,1,0,1,1,2023030215
2024-05-14,2023-24,2,VAN,EDM,0,1,1,1,2023030244
